,word,category
309,Master-Slave,Backend
310,Master-Master,Backend
311,Failover,Backend
312,Backup,Backend
313,Disaster Recovery,Backend
314,High Availability,Backend
315,Redis Cache,Backend
316,Memcached,Backend
317,CDN,Backend
318,In-Memory Database,Backend
319,Authentication,Backend
320,Authorization,Backend
321,OpenID Connect,Backend
322,SAML,Backend
323,SSO,Backend
324,Role-Based Access Control,Backend
325,RBAC,Backend
326,ACL,Backend
327,Encryption,Backend
328,TLS,Backend
329,SSL,Backend
330,HTTPS,Backend
331,Hashing,Backend
332,Bcrypt,Backend
333,Argon2,Backend
334,PBKDF2,Backend
335,Data Validation,Backend
336,Sanitization,Backend
337,CSRF,Backend
338,XSS,Backend
339,SQL Injection,Backend
340,CORS,Backend
341,Security Headers,Backend
342,Content Security Policy,Backend
343,CSP,Backend
344,HSTS,Backend
345,X-Frame-Options,Backend
346,X-Content-Type-Options,Backend
347,Referrer Policy,Backend
348,Permissions Policy,Backend
349,Trusted Types,Backend
350,Subresource Integrity,Backend
351,SRI,Backend
352,Logging,Backend
353,Log Rotation,Backend
354,ELK Stack,Backend
355,Logstash,Backend
356,Kibana,Backend
357,Fluentd,Backend
358,Graylog,Backend
359,Monitoring,Backend
360,Prometheus,Backend
361,Grafana,Backend
362,New Relic,Backend
363,Datadog,Backend
364,APM,Backend
365,Tracing,Backend
366,OpenTelemetry,Backend
367,Jaeger,Backend
368,Zipkin,Backend
369,Error Tracking,Backend
370,Sentry,Backend
371,Rollbar,Backend
372,BugSnag,Backend
373,Performance Monitoring,Backend
374,Alerts,Backend
375,Notifications,Backend
376,Webhooks,Backend
377,Cron Triggers,Backend
378,Scheduled Tasks,Backend
379,Batch Processing,Backend
380,ETL,Backend
381,Data Pipeline,Backend
382,Data Warehouse,Backend
383,BigQuery,Backend
384,Redshift,Backend
385,Snowflake,Backend
386,Data Lake,Backend
387,S3,Backend
388,MinIO,Backend
389,Blob Storage,Backend
390,File Upload,Backend
391,Multer,Backend
392,Cloud Storage,Backend
393,AWS S3,Backend
394,Google Cloud Storage,Backend
395,Azure Blob Storage,Backend
396,FTP,Backend
397,SFTP,Backend
398,SSH,Backend
399,VPN,Backend
400,CI/CD,Backend
401,Jenkins,Backend
402,GitHub Actions,Backend
403,GitLab CI,Backend
404,CircleCI,Backend
405,Travis CI,Backend
406,Docker,Backend
407,Kubernetes,Backend
408,Helm,Backend
409,Terraform,Backend
410,Ansible,Backend
411,Puppet,Backend
412,Chef,Backend
413,Infrastructure as Code,Backend
414,IaC,Backend
415,Cloud Computing,Backend
416,AWS,Backend
417,EC2,Backend
418,RDS,Backend
419,Google Cloud,Backend
420,GCP,Backend
421,Compute Engine,Backend
422,Cloud Functions,Backend
423,Azure,Backend
424,VM,Backend
425,App Service,Backend
426,Serverless Framework,Backend
427,Zappa,Backend
428,Vercel,Backend
429,Netlify,Backend
430,Nginx,Backend
431,Apache,Backend
432,HAProxy,Backend
433,Cloudflare,Backend
434,Akamai,Backend
435,DNS,Backend
436,Domain Management,Backend
437,SSL Certificates,Backend
438,Let's Encrypt,Backend
439,Zero Trust,Backend
440,Firewall,Backend
441,DDoS Protection,Backend
442,IP Whitelisting,Backend
443,Blacklisting,Backend
444,VPC,Backend
445,Subnet,Backend
446,NAT Gateway,Backend
447,Security Groups,Backend
448,IAM,Backend
449,Identity and Access Management,Backend
450,Policy Management,Backend
451,Secrets Management,Backend
452,Vault,Backend
453,AWS Secrets Manager,Backend
454,Google Secret Manager,Backend
455,Azure Key Vault,Backend
456,Environment Variables,Backend
457,.env,Backend
458,Configuration Management,Backend
459,Consul,Backend
460,Etcd,Backend
461,Zookeeper,Backend
462,Service Discovery,Backend
463,Health Checks,Backend
464,Circuit Breaker,Backend
465,Retry,Backend
466,Timeout,Backend
467,Bulkhead,Backend
468,Resilience,Backend
469,Fault Tolerance,Backend
470,Chaos Engineering,Backend
471,Load Testing,Backend
472,JMeter,Backend
473,Gatling,Backend
474,k6,Backend
475,Performance Testing,Backend
476,Stress Testing,Backend
477,Scalability,Backend
478,Latency,Backend
479,Throughput,Backend
480,Bandwidth,Backend
481,Concurrency,Backend
482,Threading,Backend
483,Asynchronous,Backend
484,Synchronous,Backend
485,Event Loop,Backend
486,Non-Blocking I/O,Backend
487,Blocking I/O,Backend
488,Multithreading,Backend
489,Multiprocessing,Backend
490,Goroutines,Backend
491,Channels,Backend
492,Futures,Backend
493,Promises,Backend
494,Async/Await,Backend
495,Callbacks,Backend
496,Streams,Backend
497,Buffers,Backend
498,File I/O,Backend
499,Network I/O,Backend
500,Serialization,Backend
501,Protobuf,Backend
502,Avro,Backend
503,MessagePack,Backend
504,BSON,Backend
505,CSV,Backend
506,Data Transformation,Backend
507,Mapping,Backend
508,Aggregation,Backend
509,Search,Backend
510,Full-Text Search,Backend
511,Fuzzy Search,Backend
512,Autocomplete,Backend
513,Suggestions,Backend
514,Recommendations,Backend
515,Machine Learning,Backend
516,AI,Backend
517,TensorFlow,Backend
518,PyTorch,Backend
519,Scikit-learn,Backend
520,NLP,Backend
521,Natural Language Processing,Backend
522,Sentiment Analysis,Backend
523,Chatbot,Backend
524,Voice Assistant,Backend
525,Speech Recognition,Backend
526,Image Processing,Backend
527,Computer Vision,Backend
528,OCR,Backend
529,Data Science,Backend
530,Pandas,Backend
531,NumPy,Backend
532,Matplotlib,Backend
533,Seaborn,Backend
534,Jupyter,Backend
535,Data Visualization,Backend
536,Dash,Backend
537,Streamlit,Backend
538,Business Intelligence,Backend
539,BI,Backend
540,Tableau,Backend
541,Power BI,Backend
542,Looker,Backend
543,Data Studio,Backend
544,ELT,Backend
545,Data Integration,Backend
546,Airflow,Backend
547,Luigi,Backend
548,Prefect,Backend
549,Dagster,Backend
550,Data Governance,Backend
551,Data Quality,Backend
552,Data Cleansing,Backend
553,Data Lineage,Backend
554,Data Catalog,Backend
555,Metadata Management,Backend
556,Data Privacy,Backend
557,GDPR,Backend
558,CCPA,Backend
559,HIPAA,Backend
560,Compliance,Backend
561,Auditing,Backend
562,Reporting,Backend
563,Analytics,Backend
564,Metrics,Backend
565,KPIs,Backend
566,Dashboards,Backend
567,Automation,Backend
568,Scripting,Backend
569,Bash,Backend
570,Python,Backend
571,Ruby,Backend
572,PowerShell,Backend
573,CLI,Backend
574,Command Line,Backend
575,Terminal,Backend
576,Shell,Backend
577,Remote Access,Backend
578,Version Control,Backend
579,Git,Backend
580,GitHub,Backend
581,GitLab,Backend
582,Bitbucket,Backend
583,Merge,Backend
584,Pull Request,Backend
585,Code Review,Backend
586,Branching,Backend
587,Tagging,Backend
588,Rebase,Backend
589,Cherry-Pick,Backend
590,Stash,Backend
591,Conflict Resolution,Backend
592,Continuous Integration,Backend
593,Continuous Deployment,Backend
594,Continuous Delivery,Backend
595,Blue-Green Deployment,Backend
596,Canary Release,Backend
597,Feature Flags,Backend
598,A/B Testing,Backend
599,Multivariate Testing,Backend
600,Experimentation,Backend
601,User Tracking,Backend
602,Mixpanel,Backend
603,Amplitude,Backend
604,Google Analytics,Backend
605,Segment,Backend
606,Heatmaps,Backend
607,Session Recording,Backend
608,Funnels,Backend
609,Retention,Backend
610,Cohort Analysis,Backend
611,User Segmentation,Backend
612,Personalization,Backend
613,Filters,Backend
614,Infinite Scroll,Backend
615,Lazy Loading,Backend
616,Preloading,Backend
617,Prefetching,Backend
618,Edge Caching,Backend
619,Browser Caching,Backend
620,Server Caching,Backend
621,Database Caching,Backend
622,Query Caching,Backend
623,Object Caching,Backend
624,Page Caching,Backend
625,Fragment Caching,Backend
626,Cache Invalidation,Backend
627,Cache Busting,Backend
628,Last-Modified,Backend
629,Cache Partitioning,Backend
630,Cache Coherence,Backend
631,Cache Consistency,Backend
632,Cache Stampede,Backend
633,Thundering Herd,Backend
634,Cache Warming,Backend
635,Eager Loading,Backend
636,On-Demand Loading,Backend
637,Progressive Hydration,Backend
638,Partial Hydration,Backend
639,Islands Architecture,Backend
640,Micro Frontends,Backend
641,Module Federation,Backend
642,Monorepo,Backend
643,Polyrepo,Backend
644,Multirepo,Backend
645,Functions as a Service,Backend
646,Backend as a Service,Backend
647,Platform as a Service,Backend
648,Infrastructure as a Service,Backend
649,Software as a Service,Backend
650,Containers,Backend
651,Podman,Backend
652,Pulumi,Backend
653,Crossplane,Backend
654,GitOps,Backend
655,ArgoCD,Backend
656,Flux,Backend
657,Bitbucket Pipelines,Backend
658,Azure DevOps,Backend
659,AWS CodePipeline,Backend
660,Google Cloud Build,Backend
661,Spinnaker,Backend
662,Tekton,Backend
663,Drone,Backend
664,Buildkite,Backend
665,Harness,Backend
666,Codefresh,Backend
667,Zuul,Backend
668,Concourse,Backend
669,GoCD,Backend
670,TeamCity,Backend
671,Bamboo,Backend
672,Buddy,Backend
673,Semaphore,Backend
674,AppVeyor,Backend
675,Wercker,Backend
676,Shippable,Backend
677,Solano,Backend
678,Distelli,Backend
679,CodeShip,Backend
680,Deis,Backend
681,Flynn,Backend
682,Dokku,Backend
683,Rancher,Backend
684,Nomad,Backend
685,Mesos,Backend
686,Swarm,Backend
687,OpenShift,Backend
688,Knative,Backend
689,Istio,Backend
690,Linkerd,Backend
691,Envoy,Backend
692,NGINX,Backend
693,Traefik,Backend
694,Caddy,Backend
695,IIS,Backend
696,Lighttpd,Backend
697,Cherokee,Backend
698,Tomcat,Backend
699,Jetty,Backend
700,Undertow,Backend
701,Netty,Backend
702,Vert.x,Backend
703,Micronaut,Backend
704,Quarkus,Backend
705,Dropwizard,Backend
706,Play Framework,Backend
707,Akka,Backend
708,Lagom,Backend
709,Finagle,Backend
710,http4s,Backend
711,ZIO,Backend
712,Cats Effect,Backend
713,FS2,Backend
714,Monix,Backend
715,Scalaz,Backend
716,Shapeless,Backend
717,Circe,Backend
718,Argonaut,Backend
719,Json4s,Backend
720,Spray JSON,Backend
721,Play JSON,Backend
722,Lift JSON,Backend
723,uPickle,Backend
724,PPrint,Backend
725,FastParse,Backend
726,Parboiled,Backend
727,Parsec,Backend
728,Dart,Mobile App Development
729,Widgets,Mobile App Development
730,Hot Reload,Mobile App Development
731,Flutter DevTools,Mobile App Development
732,Flutter SDK,Mobile App Development
733,Flutter Engine,Mobile App Development
734,Material Design,Mobile App Development
735,Cupertino Widgets,Mobile App Development
736,FlutterFlow,Mobile App Development
737,State Management,Mobile App Development
738,Provider,Mobile App Development
739,Riverpod,Mobile App Development
740,Bloc,Mobile App Development
741,Redux,Mobile App Development
742,Flutter Plugins,Mobile App Development
743,Kotlin DSL,Mobile App Development
744,Coroutines,Mobile App Development
745,Kotlin Multiplatform,Mobile App Development
746,Kotlin Native,Mobile App Development
747,Android Extensions,Mobile App Development
748,Kotlin Extensions,Mobile App Development
749,Null Safety,Mobile App Development
750,Kotlin Android Extensions,Mobile App Development
751,Kotlin Flow,Mobile App Development
752,Kotlin Companion Objects,Mobile App Development
753,JSX,Mobile App Development
754,React Navigation,Mobile App Development
755,React Native,Mobile App Development
756,Flutter,Mobile App Development
757,Xamarin,Mobile App Development
758,Ionic,Mobile App Development
759,Apache Cordova,Mobile App Development
760,NativeScript,Mobile App Development
761,Angular,Mobile App Development
762,Vue.js,Mobile App Development
763,jQuery Mobile,Mobile App Development
764,Bootstrap,Mobile App Development
765,Sencha Touch,Mobile App Development
766,PhoneGap,Mobile App Development
767,Nativescript,Mobile App Development
768,Android Studio,Mobile App Development
769,Xcode,Mobile App Development
770,Visual Studio,Mobile App Development
771,Eclipse,Mobile App Development
772,IntelliJ IDEA,Mobile App Development
773,Firebase Authentication,Mobile App Development
774,Google Analytics for Mobile,Mobile App Development
775,TestFlight,Mobile App Development
776,App Center,Mobile App Development
777,Codemagic,Mobile App Development
778,Fastlane,Mobile App Development
779,Appium,Mobile App Development
780,Detox,Mobile App Development
781,Mobile app development,Mobile App Development
782,native app,Mobile App Development
783,cross-platform,Mobile App Development
784,Swift,Mobile App Development
785,Kotlin,Mobile App Development
786,Java,Mobile App Development
787,UI,Mobile App Development
788,UX,Mobile App Development
789,backend,Mobile App Development
790,frontend,Mobile App Development
791,mobile UI design,Mobile App Development
792,responsive design,Mobile App Development
793,push notifications,Mobile App Development
794,authentication,Mobile App Development
795,database,Mobile App Development
796,app store,Mobile App Development
797,Google Play,Mobile App Development
798,App Store,Mobile App Development
799,version control,Mobile App Development
800,debugging,Mobile App Development
801,testing,Mobile App Development
802,deployment,Mobile App Development
803,continuous integration,Mobile App Development
804,user engagement,Mobile App Development
805,performance optimization,Mobile App Development
806,app analytics,Mobile App Development
807,App Monetization,Mobile App Development
808,app maintenance,Mobile App Development
809,mobile-first design,Mobile App Development
810,hybrid app,Mobile App Development
811,device compatibility,Mobile App Development
812,Mobile App Development,Mobile App Development
813,iOS,Mobile App Development
814,Android,Mobile App Development
815,Objective-C,Mobile App Development
816,Cordova,Mobile App Development
817,Progressive Web Apps,Mobile App Development
818,PWA,Mobile App Development
819,APK,Mobile App Development
820,IPA,Mobile App Development
821,NDK,Mobile App Development
822,JetBrains,Mobile App Development
823,AppCode,Mobile App Development
824,Visual Studio Code,Mobile App Development
825,Emulator,Mobile App Development
826,Simulator,Mobile App Development
827,Debugging,Mobile App Development
828,Profiling,Mobile App Development
829,Performance Optimization,Mobile App Development
830,Memory Management,Mobile App Development
831,AsyncTask,Mobile App Development
832,Grand Central Dispatch,Mobile App Development
833,GCD,Mobile App Development
834,Core Data,Mobile App Development
835,Room,Mobile App Development
836,Realm,Mobile App Development
837,Firebase Realtime Database,Mobile App Development
838,Cloud Firestore,Mobile App Development
839,REST API,Mobile App Development
840,Retrofit,Mobile App Development
841,Alamofire,Mobile App Development
842,OkHttp,Mobile App Development
843,Volley,Mobile App Development
844,Networking,Mobile App Development
845,WebSockets,Mobile App Development
846,Push Notifications,Mobile App Development
847,FCM,Mobile App Development
848,APNS,Mobile App Development
849,Local Notifications,Mobile App Development
850,Background Tasks,Mobile App Development
851,Services,Mobile App Development
852,WorkManager,Mobile App Development
853,JobScheduler,Mobile App Development
854,Broadcast Receivers,Mobile App Development
855,Content Providers,Mobile App Development
856,Intents,Mobile App Development
857,Activities,Mobile App Development
858,Fragments,Mobile App Development
859,Views,Mobile App Development
860,Layouts,Mobile App Development
861,ConstraintLayout,Mobile App Development
862,LinearLayout,Mobile App Development
863,RelativeLayout,Mobile App Development
864,RecyclerView,Mobile App Development
865,ListView,Mobile App Development
866,GridView,Mobile App Development
867,ScrollView,Mobile App Development
868,ViewPager,Mobile App Development
869,TabLayout,Mobile App Development
870,Navigation Component,Mobile App Development
871,Navigation Drawer,Mobile App Development
872,Bottom Navigation,Mobile App Development
873,AppBar,Mobile App Development
874,Toolbar,Mobile App Development
875,Cupertino,Mobile App Development
876,UI/UX,Mobile App Development
877,Responsive Design,Mobile App Development
878,Adaptive Layouts,Mobile App Development
879,Auto Layout,Mobile App Development
880,Size Classes,Mobile App Development
881,Dark Mode,Mobile App Development
882,Light Mode,Mobile App Development
883,Accessibility,Mobile App Development
884,VoiceOver,Mobile App Development
885,TalkBack,Mobile App Development
886,Screen Readers,Mobile App Development
887,Localization,Mobile App Development
888,Internationalization,Mobile App Development
889,i18n,Mobile App Development
890,l10n,Mobile App Development
891,App Localization,Mobile App Development
892,App Translation,Mobile App Development
893,App Distribution,Mobile App Development
894,Beta Testing,Mobile App Development
895,Alpha Testing,Mobile App Development
896,Crash Reporting,Mobile App Development
897,Crashlytics,Mobile App Development
898,Bugsnag,Mobile App Development
899,Firebase Analytics,Mobile App Development
900,Bitrise,Mobile App Development
901,App Signing,Mobile App Development
902,Code Signing,Mobile App Development
903,Keystore,Mobile App Development
904,Provisioning Profile,Mobile App Development
905,App Security,Mobile App Development
906,Biometric Authentication,Mobile App Development
907,Fingerprint,Mobile App Development
908,Face ID,Mobile App Development
909,Touch ID,Mobile App Development
910,In-App Purchases,Mobile App Development
911,Subscriptions,Mobile App Development
912,Revenue Models,Mobile App Development
913,Freemium,Mobile App Development
914,Paid Apps,Mobile App Development
915,Ad Monetization,Mobile App Development
916,AdMob,Mobile App Development
917,Facebook Ads,Mobile App Development
918,App Store Optimization,Mobile App Development
919,ASO,Mobile App Development
920,Keywords,Mobile App Development
921,App Description,Mobile App Development
922,Screenshots,Mobile App Development
923,App Icon,Mobile App Development
924,Ratings,Mobile App Development
925,Reviews,Mobile App Development
926,User Feedback,Mobile App Development
927,App Updates,Mobile App Development
928,,Mobile App Development
929,HTML5,Frontend
930,CSS3,Frontend
931,ES7,Frontend
932,ES8,Frontend
933,ES9,Frontend
934,ES10,Frontend
935,ES2020,Frontend
936,ES2021,Frontend
937,ES2022,Frontend
938,ES2023,Frontend
939,TSX,Frontend
940,Babel,Frontend
941,PostCSS,Frontend
942,PurgeCSS,Frontend
943,Emotion,Frontend
944,Styled Components,Frontend
945,CSS Modules,Frontend
946,Next.js,Frontend
947,Nuxt.js,Frontend
948,Gatsby,Frontend
949,Sapper,Frontend
950,Astro,Frontend
951,Eleventy,Frontend
952,Storybook,Frontend
953,Docusaurus,Frontend
954,Tailwind UI,Frontend
955,Material-UI,Frontend
956,Ant Design,Frontend
957,Chakra UI,Frontend
958,Bulma,Frontend
959,Foundation,Frontend
960,Semantic UI,Frontend
961,UIkit,Frontend
962,Milligram,Frontend
963,Spectre.css,Frontend
964,Normalize.css,Frontend
965,Reset.css,Frontend
966,Autoprefixer,Frontend
967,Prettier,Frontend
968,ESLint,Frontend
969,Stylelint,Frontend
970,Husky,Frontend
971,Lint-Staged,Frontend
972,Pre-commit,Frontend
973,BEM,Frontend
974,OOCSS,Frontend
975,SMACSS,Frontend
976,ITCSS,Frontend
977,Atomic Design,Frontend
978,Progressive Web App,Frontend
979,Service Worker,Frontend
980,Web Workers,Frontend
981,IndexedDB,Frontend
982,LocalStorage,Frontend
983,SessionStorage,Frontend
984,WebRTC,Frontend
985,WebAssembly,Frontend
986,Web Components,Frontend
987,Shadow DOM,Frontend
988,Custom Elements,Frontend
989,HTML Templates,Frontend
990,Intersection Observer,Frontend
991,Mutation Observer,Frontend
992,Resize Observer,Frontend
993,Performance API,Frontend
994,Navigation Timing API,Frontend
995,Resource Timing API,Frontend
996,User Timing API,Frontend
997,Beacon API,Frontend
998,Fetch API,Frontend
999,Axios,Frontend
1000,Superagent,Frontend
1001,GraphQL Apollo,Frontend
1002,Relay,Frontend
1003,JSON Schema,Frontend
1004,Markdown,Frontend
1005,MDX,Frontend
1006,RSS,Frontend
1007,Atom Feed,Frontend
1008,Sitemap,Frontend
1009,Robots.txt,Frontend
1010,Meta Tags,Frontend
1011,Open Graph,Frontend
1012,Twitter Cards,Frontend
1013,Schema.org,Frontend
1014,Favicon,Frontend
1015,Apple Touch Icon,Frontend
1016,Manifest.json,Frontend
1017,Workbox,Frontend
1018,Critical CSS,Frontend
1019,Code Splitting,Frontend
1020,Tree Shaking,Frontend
1021,Minification,Frontend
1022,Gzip,Frontend
1023,Brotli,Frontend
1024,HTTP/2,Frontend
1025,HTTP/3,Frontend
1026,QUIC,Frontend
1027,Feature Policy,Frontend
1028,Cross-Origin Isolation,Frontend
1029,SameSite Cookies,Frontend
1030,Secure Cookies,Frontend
1031,HttpOnly Cookies,Frontend
1032,Cookie Consent,Frontend
1033,Privacy Policy,Frontend
1034,Terms of Service,Frontend
1035,A11y,Frontend
1036,Screen Reader,Frontend
1037,Keyboard Navigation,Frontend
1038,Focus Management,Frontend
1039,Color Contrast,Frontend
1040,Alt Text,Frontend
1041,ARIA Labels,Frontend
1042,ARIA Roles,Frontend
1043,ARIA Properties,Frontend
1044,Landmarks,Frontend
1045,Headings,Frontend
1046,Skip Links,Frontend
1047,Tabindex,Frontend
1048,NVDA,Frontend
1049,JAWS,Frontend
1050,Lighthouse Audit,Frontend
1051,Web Vitals,Frontend
1052,Core Web Vitals,Frontend
1053,CLS,Frontend
1054,FID,Frontend
1055,TBT,Frontend
1056,TTI,Frontend
1057,TTFB,Frontend
1058,LCP,Frontend
1059,FCP,Frontend
1060,SI,Frontend
1061,Speed Index,Frontend
1062,Performance Budget,Frontend
1063,Critical Rendering Path,Frontend
1064,Render Blocking Resources,Frontend
1065,Defer,Frontend
1066,Async,Frontend
1067,Preload,Frontend
1068,Prefetch,Frontend
1069,DNS-Prefetch,Frontend
1070,Prerender,Frontend
1071,Modulepreload,Frontend
1072,Resource Hints,Frontend
1073,Link Prefetch,Frontend
1074,Lazy Load Images,Frontend
1075,Responsive Images,Frontend
1076,srcset,Frontend
1077,sizes,Frontend
1078,picture,Frontend
1079,WebP,Frontend
1080,AVIF,Frontend
1081,JPEG XL,Frontend
1082,SVG,Frontend
1083,Icon Fonts,Frontend
1084,Font Awesome,Frontend
1085,Material Icons,Frontend
1086,Feather Icons,Frontend
1087,Ionicons,Frontend
1088,Box Icons,Frontend
1089,Remix Icons,Frontend
1090,Heroicons,Frontend
1091,Tabler Icons,Frontend
1092,Line Awesome,Frontend
1093,Font Awesome Pro,Frontend
1094,Google Fonts,Frontend
1095,Adobe Fonts,Frontend
1096,Typekit,Frontend
1097,Font Squirrel,Frontend
1098,Fontsource,Frontend
1099,System Font Stack,Frontend
1100,Variable Fonts,Frontend
1101,Typography,Frontend
1102,Line Height,Frontend
1103,Letter Spacing,Frontend
1104,Font Weight,Frontend
1105,Font Size,Frontend
1106,Text Alignment,Frontend
1107,Text Decoration,Frontend
1108,Text Transform,Frontend
1109,White Space,Frontend
1110,Word Break,Frontend
1111,Hyphens,Frontend
1112,Text Overflow,Frontend
1113,Vertical Align,Frontend
